Ref,Val,Package,PosX,PosY,Rot,Side
"R3","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",94.140000,-84.800000,0.000000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.250000,-64.250000,-90.000000,top
"R5","300","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",120.800000,-60.600000,180.000000,top
"R7","1Meg","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.600000,-63.200000,-90.000000,top
"R9","300","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.350000,-74.750000,90.000000,top
"R10","300","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",128.750000,-74.750000,90.000000,top
"R11","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",129.350000,-68.550000,180.000000,top
"R12","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.250000,-97.870000,0.000000,top
"R13","2k2","R_0805_2012Metric",76.700000,-74.700000,90.000000,top
"R14","5k1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.250000,-96.250000,0.000000,top
"R15","150k","R_0805_2012Metric",74.690000,-74.650000,-90.000000,top
"R16","1Meg","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.250000,-94.500000,180.000000,top
"R17","100k","R_0805_2012Metric",72.700000,-74.062500,90.000000,top
"R19","1k","R_0805_2012Metric",75.537500,-79.450000,0.000000,top
"R20","10","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",110.400000,-93.400000,-90.000000,top
"RV1","10k","Potentiometer_Bourns_3266W_Vertical",113.225000,-78.000000,180.000000,top
"RV2","10k","Potentiometer_Bourns_3266W_Vertical",120.775000,-93.275000,90.000000,top
"SW1","MCU_RESET","PTS526SK15SMTR2LFS",131.750000,-56.250000,180.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",137.000000,-85.800000,0.000000,top
"U2","ESP32-A1S","ESP32-A1S",90.950000,-58.100000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",80.400000,-64.400000,0.000000,top
"U4","PCA9554APW","TSSOP-16_4.4x5mm_P0.65mm",121.500000,-68.500000,180.000000,top
"U7","MAX9814","DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm",71.200000,-77.650000,0.000000,top
"U8","TS5A63157DBV","SOT-23-6",106.250000,-84.750000,180.000000,top
"U9","TS5A63157DBV","SOT-23-6",107.500000,-89.500000,90.000000,top
"U10","LM386","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias",114.250000,-91.250000,-90.000000,top
"U11","TS5A63157DBV","SOT-23-6",66.700000,-85.350000,0.000000,top
"U12","TS5A63157DBV","SOT-23-6",114.200000,-66.200000,-90.000000,top
